,ObjectTable,us_node_id,us_node_id_flag,link_suffix,link_suffix_flag,ds_node_id,ds_node_id_flag,link_type,link_type_flag,asset_id,asset_id_flag,sewer_reference,sewer_reference_flag,system_type,system_type_flag,branch_id,branch_id_flag,point_array,is_merged,asset_uid,x0,y0
2,hw_conduit,18354,GIS,1,,18355,GIS,Cond,,160460777,GIS,,,sanitary,,,,"{2295150.1279515852220356,145041.6740005756146275,2295263.9548091809265316,145067.5737005781556945,2295264.9210515837185085,145067.7935005793406162}",,,2295150.1279515852220356,145041.6740005756146275
3,hw_conduit,18355,GIS,1,,2329,GIS,Cond,,160460778,GIS,,,sanitary,,,,"{2295264.9210515837185085,145067.7935005793406162,2295270.5218515819869936,145069.027100577019155}",,,2295264.9210515837185085,145067.7935005793406162
4,hw_conduit,19128,GIS,1,,2038,GIS,Cond,,160441863,GIS,,,sanitary,,,,"{2296605.1473515927791595,148328.2148005948693026,2296721.3048515990376472,148262.5853005911340006}",,,2296605.1473515927791595,148328.2148005948693026
5,hw_conduit,1995,GIS,1,,19128,GIS,Cond,,160441947,GIS,,,sanitary,,,,"{2296512.2478515887632966,148381.258800584851997,2296605.1473515927791595,148328.2148005948693026}",,,2296512.2478515887632966,148381.258800584851997
6,hw_conduit,2038,GIS,1,,2039,GIS,Cond,,160441484,GIS,,,sanitary,,,,"{2296721.3048515990376472,148262.5853005911340006,2296776.6358515871688724,148249.7480005944962613}",,,2296721.3048515990376472,148262.5853005911340006
7,hw_conduit,2039,GIS,1,,33-486071,CAR,Cond,,160441486,GIS,,,sanitary,,,,"{2296776.6358515871688724,148249.7480005944962613,2296801.7064727870747447,148241.7249135529564228}",,,2296776.6358515871688724,148249.7480005944962613
8,hw_conduit,2284,GIS,1,,1995,GIS,Cond,,160444171,GIS,,,sanitary,,,,"{2296444.7475515869446099,148418.1588005894445814,2296512.2478515887632966,148381.258800584851997}",,,2296444.7475515869446099,148418.1588005894445814
9,hw_conduit,2285,GIS,1,,2284,GIS,Cond,,160444173,GIS,,,sanitary,,,,"{2296389.67175158765167,148435.458500585402362,2296444.7475515869446099,148418.1588005894445814}",,,2296389.67175158765167,148435.458500585402362
10,hw_conduit,2329,GIS,1,,2330,GIS,Cond,,10208557,GIS,,,sanitary,,,,"{2295270.5218515819869936,145069.027100577019155,2295398.1221515838988125,145097.5949005760194268}",,,2295270.5218515819869936,145069.027100577019155
11,hw_conduit,2330,GIS,1,,2332,GIS,Cond,,10208564,GIS,,,sanitary,,,,"{2295398.1221515838988125,145097.5949005760194268,2295414.1837515886873007,145101.1908005766745191}",,,2295398.1221515838988125,145097.5949005760194268
12,hw_conduit,2332,GIS,1,,2347,GIS,Cond,,10208595,GIS,,,sanitary,,,,"{2295414.1837515886873007,145101.1908005766745191,2295453.20710918167606,145109.2199005784641486,2295483.2677091821096838,145115.4050005814060569,2295536.8212091820314527,145126.4236005792918149,2295545.8240515827201307,145128.2759005756815895}",,,2295414.1837515886873007,145101.1908005766745191
13,hw_conduit,2334,GIS,1,,27-476043,CAR,Cond,,10208596,GIS,,,sanitary,,,,"{2295653.1371515882201493,145117.0449005791451782,2295675.8919502226635814,145113.107142340450082}",,,2295653.1371515882201493,145117.0449005791451782
14,hw_conduit,2347,GIS,1,,2348,GIS,Cond,,10208599,GIS,,,sanitary,,,,"{2295545.8240515827201307,145128.2759005756815895,2295560.8508091843686998,145126.7033005806733854,2295574.9258515904657543,145125.2302005806122907}",,,2295545.8240515827201307,145128.2759005756815895
15,hw_conduit,2348,GIS,1,,2334,GIS,Cond,,10208598,GIS,,,sanitary,,,,"{2295574.9258515904657543,145125.2302005806122907,2295582.2330091805197299,145124.4655005819222424,2295600.4380091824568808,145122.5602005820546765,2295624.7054091822355986,145120.0205005788593553,2295653.1371515882201493,145117.0449005791451782}",,,2295574.9258515904657543,145125.2302005806122907
16,hw_conduit,24-476002,,1,,24-476003,,Cond,,4832,,,,sanitary,,,,"{2294708.3921326189301908,145625.4851473025046289,2294746.2111374991945922,145624.9004799425019883}",,,2294708.3921326189301908,145625.4851473025046289
17,hw_conduit,24-476003,,1,,27-476002,,Cond,,4830,,,,sanitary,,,,"{2294746.2111374991945922,145624.9004799425019883,2294810.9847036595456302,145627.5875967425236013}",,,2294746.2111374991945922,145624.9004799425019883
18,hw_conduit,2430,GIS,1,,2431,GIS,Cond,,160445718,GIS,,,sanitary,,,,"{2296219.9093515845015645,148463.6088005957426503,2296261.1844515847042203,148453.5447005938913208}",,,2296219.9093515845015645,148463.6088005957426503
19,hw_conduit,2431,GIS,1,,2285,GIS,Cond,,160446347,GIS,,,sanitary,,,,"{2296261.1844515847042203,148453.5447005938913208,2296270.8889091857708991,148452.1787005927180871,2296389.67175158765167,148435.458500585402362}",,,2296261.1844515847042203,148453.5447005938913208
20,hw_conduit,27-476002,,1,,27-476003,,Cond,,4829,,,,sanitary,,,,"{2294810.9847036595456302,145627.5875967425236013,2294852.56728749955073,145632.8786504225281533}",,,2294810.9847036595456302,145627.5875967425236013
21,hw_conduit,27-476003,,1,,27-476004,,Cond,,4825,,,,sanitary,,,,"{2294852.56728749955073,145632.8786504225281533,2294968.9068566998466849,145648.1279468225839082}",,,2294852.56728749955073,145632.8786504225281533
22,hw_conduit,27-476004,,1,,27-476005,,Cond,,4821,,,,sanitary,,,,"{2294968.9068566998466849,145648.1279468225839082,2295032.0492856604978442,145657.2718249026220292}",,,2294968.9068566998466849,145648.1279468225839082
23,hw_conduit,27-476005,,1,,27-476006,,Cond,,4828,,,,sanitary,,,,"{2295032.0492856604978442,145657.2718249026220292,2295124.1261957404203713,145627.9191581825143658}",,,2295032.0492856604978442,145657.2718249026220292
24,hw_conduit,27-476006,,1,,27-478023,,Cond,,4827,,,,sanitary,,,,"{2295124.1261957404203713,145627.9191581825143658,2295119.572270380333066,145721.6142819428932853}",,,2295124.1261957404203713,145627.9191581825143658
25,hw_conduit,27-476043,,1,,30-476039,,Cond,,22646,,,,sanitary,,,,"{2295675.8919502226635814,145113.107142340450082,2295802.9046400631777942,145094.4007129003875889}",,,2295675.8919502226635814,145113.107142340450082
26,hw_conduit,27-478023,,1,,27-478024,,Cond,,4815,,,,sanitary,,,,"{2295119.572270380333066,145721.6142819428932853,2295176.7710688607767224,145719.4865036228729878}",,,2295119.572270380333066,145721.6142819428932853
27,hw_conduit,27-478024,,1,,27-478025,,Cond,,4814,,,,sanitary,,,,"{2295176.7710688607767224,145719.4865036228729878,2295181.7468069405294955,145761.0429051430546679}",,,2295176.7710688607767224,145719.4865036228729878
28,hw_conduit,27-478025,,1,,27-478051,,Cond,,4808,,,,sanitary,,,,"{2295181.7468069405294955,145761.0429051430546679,2295312.1892892611213028,145769.588978983083507}",,,2295181.7468069405294955,145761.0429051430546679
29,hw_conduit,27-478051,,1,,27-478052,,Cond,,4804,,,,sanitary,,,,"{2295312.1892892611213028,145769.588978983083507,2295360.8823999017477036,145810.9642988232371863}",,,2295312.1892892611213028,145769.588978983083507
